time;TraceabilityCode;CushionPumpMaxPower3;time.value
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:52:29.835 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:53:07.036 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:53:16.234 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:53:44.313 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:54:02.713 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:54:11.993 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:54:21.362 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:54:30.642 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:54:39.913 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:54:49.121 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:55:26.483 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:55:35.753 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:55:54.322 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:56:03.681 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:56:13.052 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:56:40.711 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:56:50.161 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:56:59.351 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:57:17.908 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:57:36.489 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:57:45.769 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:57:54.960 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:59:00.078 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:59:37.128 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 16:59:46.408 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 16:59:55.598 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 17:00:14.246 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 17:00:32.806 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 17:00:51.288 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 17:01:28.407 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 17:01:37.615 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 17:02:14.816 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 17:02:23.926 CET
2023-02-20 14:43:27.519 CET;1010123051134259;52,2;2023-02-22 17:02:51.934 CET
2023-02-20 14:43:27.519 CET;1010123051134259;51,9;2023-02-22 17:03:01.046 CET
